"Reviewer","Item","Status","Planned response or change","Available evidence","Requires new hardware or training"
"Editor","Title/keywords/abstract acronyms","Text revision","Remove title and keyword acronyms; define all abstract acronyms and align Editorial Manager fields","Current manuscript and decision letter","No"
"Editor","Single-column source submission","Formatting","Switch revision to single-column and submit source package","Decision letter","No"
"R1","1 Chemistry generalization","Text/limitation","Restrict conclusions to LFP and discuss why NMC/LCO degradation can change the trade-off","Existing LFP experiment only","No, unless numerical generalization is claimed"
"R1","2 QAT or pruning-aware training","Not performed/high risk","State post-training weight quantization and structured pruning plus fine-tuning scope; acknowledge QAT as future work","Current code and headers","Yes for an experimental comparison"
"R1","3 Evidence for regularization","Partial analysis","Add weight-distribution and L2-saliency evidence but soften causal regularization claim","Weight statistics and figures","Training needed for seed-level proof"
"R1","4 Energy and memory access","Clarification required","Call energy an estimate based on inference time times 0.5 W; state that memory/core contributions were not separated","Benchmark summary and static operation accounting","Hardware profiling needed for decomposition"
"R1","5 Very long sequence stability","Analysis complete","Report ten-window MAE/P95/bias and cumulative MAE over saved complete streaming predictions","long_horizon CSVs and figures","No"
"R1","6 SOH filter design/delay","Analysis complete but contradiction unresolved","Select actual filter; report limiter, alpha, 1 Hz response, delay proxy, and accuracy interaction for locally re-executed Base, Pruned, and Quantized models","filter CSVs and 39 candidate figures","No"
"R1","7 Utility weights and sensitivity","Analysis complete","Define equal weights and add 1,771-combination plus focused-priority sensitivity analysis","utility CSVs and figures","No"
"R1","8 Embedded faults","Partial/high risk","Present only limited output-loss and output-register corruption checks; explicitly exclude internal MCU/model faults","fault CSVs and figures","Hardware not mandatory, but broader inference execution is needed"
"R2","Novelty versus prior work","Text/literature","Add comparison table or focused paragraphs for embedded state estimation and transparent LSTM compression","Existing manuscript plus verified literature","No"
"R2","Clear objective at end of Introduction","Text revision","Add one concise objective and contribution list","Manuscript","No"
"R2","Updated references and research gap","Literature revision","Verify recent primary papers and connect each to the specific deployment gap","Bibliography review pending","No"
"R2","Conclusion and future work","Text revision","Quantify main results and add bounded next steps","Existing KPIs and new analyses","No"
"R2","English and typos","Editing","Full language and consistency pass after technical edits","Manuscript","No"
"R3","1 Model/hardware transferability","Text/limitation","Bound claims to current hidden sizes and STM32H753ZI; use operation/memory analysis for cautious transfer discussion","operations and weights results","New runs needed for numerical transfer claims"
"R3","2 Derivatives under variable sampling/data loss","Text correction/high risk","Clarify offline centered differences versus causal deployment; discuss timestamp-aware backward differences and invalid-sample handling","Method/code audit","New inference runs needed for accuracy effects"
"R3","3 L2 pruning rationale","Analysis and text","Explain gate-group L2 criterion, structured dimension reduction, and limitations versus gradient/activation criteria","saliency and operation results","No if framed as rationale, yes for experimental comparison"
"R3","4 Floating activations","Analysis complete","State mixed precision explicitly and quantify recurrent storage plus FP32 state","memory and quantization reconstruction CSVs","No"
"R3","5 Pruned accuracy across seeds","Not performed/high risk","Describe lower SOC MAE as a single-run observation and remove proof-like regularization wording","Long-horizon and weight results","Yes"
"R3","6 Quantized runtime root cause","Partial analysis","Show static extra scale multiplications and mixed FP32 kernel; call conclusions code-based, not cycle-level profiling","operations CSV and C implementation","Hardware profiling needed for definitive attribution"
"R4","1 Shorter abstract","Complete","169-word abstract with engineering application, implemented AI, numerical findings, and scope","Final manuscript page 1, lines 6--27","No"
"R4","2 Suggested literature","Complete","Both reviewer-suggested papers verified from the author's Zotero export, cited, and compared with the deployment benchmark","Refs. 16--17; manuscript page 6, lines 144--155","No"
"R4","3 Mathematical method explanation","Complete","Added dense pruning slicing, code-exact quantization, reconstruction bound, mixed-precision gate, and metric equations","Manuscript pages 15--24","No"
"R4","4 Grammar","Complete","Completed manuscript-wide language pass and corrected acknowledgement encoding/duplication","Final author and anonymous manuscripts","No"
"R4","5 Sentence logic","Complete","Separated objective, evidence, interpretation, and limitations; removed unsupported causal wording","Introduction, Methods, Discussion, and Conclusion","No"
"R4","6 Long paragraphs","Complete","Split and tightened long Dataset, Training, Benchmark, Discussion, Limitations, and Conclusion passages","Final manuscript","No"
"R4","7 Figure clarity","Complete","Regenerated Figures 2, 6, and 7 at high resolution with larger labels and verified content","generate_reviewer4_figures.ps1","No"
"R4","8 Highlight method and mathematics","Complete","Connected analytical MACs and compression equations to implementation scope, metrics, and measured trade-offs","Manuscript pages 15--24 and 36--37","No"
